,0
0, ULAMULIRO PA CHISAMALIRO CHA NKHALANGO 
1,KUFOTOKOZERA ZA NKHALANGO 
2,KUFOTOKOZERA MWACHIDULE 
3, ZOMERA ZOSIYANASIYANA ZA M’DERALI 
4, MITUNDU YA DOTHI LOSIYANASIYANA 
5, MALIRE 
6, UMWINI WA MALO 
7, OGWIRITSA NTCHITO NKHALANGO
8, TIMADERA TACHISAMALIRO CHA NKHALANGO (FMUs) 
9, ZOLINGA ZAZIKULUZIKULU ZOLUNJIKA KWENIKWENI DERA LOSAKOLOLEKA NDI  LOKOLOLEKA M’NKHALANGO 
10, ZOLINGA ZOCHEPERAPO ZOLUNJIKA KWENIKWENI DERA LOKOLOLEKA NDI LOKOLOLEKA M’NKHALANGO 
11, ZOLINGA ZA CHISAMALIRO CHA NKHALANGO 
12, CHOLINGA CHACHIKULU 
13, ZOLINGA ZOCHEPERAPO KOMA ZOLUNJIKA KWENIKWENI NTCHITO YA CHISAMALIRO CHA NKHALANGO 
14,MALAMULO A CHISAMALIRO CHA PHINDU LOCHOKERA M’NKHALANGO 
15,CHIKONZERO CHA KAGWIRIDWE KANTCHITO 
16, NDONDOMEKO YA M’MENE ANTHU AKHOZA KULONDERA/KUYENDERA 
17,Gome  Chikonzero cha m’mene ntchito yolondera nkhalango idzayendere
18,GOME  Kauniuni wa ndondomeko zofunika kutsatidwa monga mwa chikonzero
19, KUFOTOKOZERA NTCHITO YA CHIKONZERO CHA KAYENDETSEDWE KA ZINTHU ZOCHOKERA M’NKHALANGO PADERA- PADERA 
20, NDONDOMEKO YA CHISAMALIRO CHA MITENGO YA NKHUN
21, Wamkulu wa zankhalango mu Boma (LA NTCHISI)
22, Mwinimtunda/ (chalo/ Gogo)
23, Ndondomeko yotukula kasamalidwe ka nkhalango kuti pakhale kupititsa patsogolo umoyo wa anthu
24, Bungwe la Umodzi wa azungu
25, Midzi yoona za chisamaliro cha nkhalango
26, Bungwe la kumudzi la zankhalango
27, Nthambi ya maofesi a zankhalango (Dipatimenti yoona zankhalango)
28, Bungwe La Chigawo Chachikulu Losamalira za Nkhalango (BMC)
29, Mfumu ya m’mudzi
30, Dera alilkulu la chionjezero pa chikonzekero cha ntchito za ulimi
31, Bungwe loyang’anira chisamaliro cha nkhalango
32, Kagawo kolumikiza m’ndandanda wa zintchito zoyendetsera nkhalango
33, Mfumu yoyang’anira midzi ingapo
34, Bungwe limene silili la boma
35, Bungwe la m’mudzi Loyang’anira zachilengedwe
36, Gulu la Mamembala ogwiritsa ntchito nkhalango
37,"Ndondomeko ino ili kuphera mphongo kukambirana, kuunika, kudziwitsana ndi kufunsira ndiponso kukonzekera kumene kunalipo ndi anthu a dera la Chanika"
38,Ntchitoyi idatsogoleredwa ndi ogwira ntchito ku ofesi yoona za nkhalango ochokera ku Dipatimenti yoona za nkhalango
